Template Name,Industry,Use Case,Email Number,Send Day,Subject Line,Email Body Preview,Full Sequence,Tags
SaaS Meeting - Email 1,SaaS,Meeting Booking,1,0,Quick question about [Company Name]'s [specific process],"Hi [First Name], I noticed [Company Name] is [specific observation]...",saas-meeting-booking,"saas,meeting,cold-outreach,day-0"
SaaS Meeting - Email 2,SaaS,Meeting Booking,2,3-4,Re: Quick question - value-add follow-up,"Hi [First Name], I know inboxes get busy. Wanted to share something useful...",saas-meeting-booking,"saas,meeting,follow-up,day-3"
SaaS Meeting - Email 3,SaaS,Meeting Booking,3,7,How [Similar Company] solved [specific problem],"Hi [First Name], Following up because I recently helped [Similar Company]...",saas-meeting-booking,"saas,meeting,case-study,day-7"
SaaS Meeting - Email 4,SaaS,Meeting Booking,4,10-12,Should I close your file?,"Hi [First Name], I've reached out a few times but haven't heard back...",saas-meeting-booking,"saas,meeting,breakup,day-10"
SaaS Meeting - Email 5,SaaS,Meeting Booking,5,21-30,[Industry] trend I thought you'd find interesting,"Hi [First Name], I know we couldn't connect earlier, but wanted to flag...",saas-meeting-booking,"saas,meeting,re-engagement,day-21"
SaaS Demo - Email 1,SaaS,Demo Request,1,0,[Company Name] - [Specific Feature] demo,"Hi [First Name], I help [their industry] companies solve [specific problem]...",saas-demo-request,"saas,demo,product,day-0"
SaaS Demo - Email 2,SaaS,Demo Request,2,3-4,Re: Demo - interactive link,"Hi [First Name], Quick follow-up - I created an interactive demo you can explore...",saas-demo-request,"saas,demo,interactive,day-3"
SaaS Demo - Email 3,SaaS,Demo Request,3,7,How [Customer Name] uses [Your Product] - video,"Hi [First Name], I recorded a case study video with [Customer Name]...",saas-demo-request,"saas,demo,video,day-7"
SaaS Demo - Email 4,SaaS,Demo Request,4,10-12,Quick question,"Hi [First Name], I've sent over demos but haven't heard back. Quick question...",saas-demo-request,"saas,demo,breakup,day-10"
SaaS Demo - Email 5,SaaS,Demo Request,5,21-30,We just launched [New Feature],"Hi [First Name], Timing wasn't right earlier, but we just launched [Feature]...",saas-demo-request,"saas,demo,new-feature,day-21"
SaaS Partnership - Email 1,SaaS,Partnership,1,0,Partnership opportunity - [Your Co] + [Their Co],"Hi [First Name], I'm from [Your Company]. I think there's a partnership opportunity...",saas-partnership,"saas,partnership,b2b,day-0"
SaaS Partnership - Email 2,SaaS,Partnership,2,3-4,Re: Partnership - customer overlap data,"Hi [First Name], Quick follow-up with data. We ran a survey of our customers...",saas-partnership,"saas,partnership,data,day-3"
SaaS Partnership - Email 3,SaaS,Partnership,3,7,How we built our [Partner] integration,"Hi [First Name], Wanted to share a partnership case study that worked well...",saas-partnership,"saas,partnership,case-study,day-7"
SaaS Partnership - Email 4,SaaS,Partnership,4,10-12,Wrong timing or wrong fit?,"Hi [First Name], I've reached out about partnership but haven't heard back...",saas-partnership,"saas,partnership,breakup,day-10"
SaaS Partnership - Email 5,SaaS,Partnership,5,21-30,The [ecosystem trend] - opportunity for [Company],"Hi [First Name], Wanted to share a trend in [their ecosystem]...",saas-partnership,"saas,partnership,trend,day-21"
Agency Meeting - Email 1,Agency,Meeting Booking,1,0,[Company Name]'s [specific asset] caught my attention,"Hi [First Name], I was researching [their industry] and came across [specific thing]...",agency-meeting-booking,"agency,meeting,observation,day-0"
Agency Meeting - Email 2,Agency,Meeting Booking,2,3-4,Re: [Company] - quick audit,"Hi [First Name], I spent 15 minutes doing a quick audit of [Company]...",agency-meeting-booking,"agency,meeting,audit,day-3"
Agency Meeting - Email 3,Agency,Meeting Booking,3,7,How we helped [Similar Client] with [challenge],"Hi [First Name], Quick case study relevant to [Company]'s situation...",agency-meeting-booking,"agency,meeting,case-study,day-7"
Agency Meeting - Email 4,Agency,Meeting Booking,4,10-12,Should I take [Company] off my list?,"Hi [First Name], I've reached out about [service] but haven't heard back...",agency-meeting-booking,"agency,meeting,breakup,day-10"
